"Tag.number","Latitude","Longitude","Carapace.length","Size.at.release","Size.at.recapture","Size","Release.location","Sex","Labels"
"195968",-29.54052,114.95022,62.2,"Sub-legal","Sub-legal","Sub-legal","Cliff Head","Male","Tag K3086. A Male lobster, first caught on 2018-07-06 (92.6 mm).<br> <br>Tag 195968. A Male lobster, first caught on 2018-07-07 (62.2 mm)."
"195968",-29.54049,114.9503,62,"Sub-legal","Sub-legal","Sub-legal","Cliff Head","Male","Tag 195968. At liberty for 70 days before being caught again on 2018-09-15 (62 mm).<br> <br>Tag 196019. At liberty for 33 days before being caught again on 2018-09-15 (67.5 mm).<br> <br>Tag 196558. At liberty for 1 days before being caught again on 2018-09-15 (52.6 mm).<br> <br>Tag 196559. At liberty for 1 days before being caught again on 2018-09-15 (48.3 mm).<br> <br>Tag K4362. At liberty for 1 days before being caught again on 2018-09-15 (75.9 mm).<br> <br>Tag K4364. At liberty for 1 days before being caught again on 2018-09-15 (83.8 mm).<br> <br>Tag K4368. At liberty for 1 days before being caught again on 2018-09-15 (79.4 mm)."
"196019",-29.54049,114.9503,67.5,"Sub-legal","Sub-legal","Sub-legal","Cliff Head","Female","Tag 195968. At liberty for 70 days before being caught again on 2018-09-15 (62 mm).<br> <br>Tag 196019. At liberty for 33 days before being caught again on 2018-09-15 (67.5 mm).<br> <br>Tag 196558. At liberty for 1 days before being caught again on 2018-09-15 (52.6 mm).<br> <br>Tag 196559. At liberty for 1 days before being caught again on 2018-09-15 (48.3 mm).<br> <br>Tag K4362. At liberty for 1 days before being caught again on 2018-09-15 (75.9 mm).<br> <br>Tag K4364. At liberty for 1 days before being caught again on 2018-09-15 (83.8 mm).<br> <br>Tag K4368. At liberty for 1 days before being caught again on 2018-09-15 (79.4 mm)."
"196558",-29.54049,114.9503,52.6,"Sub-legal","Sub-legal","Sub-legal","Cliff Head","Male","Tag 195968. At liberty for 70 days before being caught again on 2018-09-15 (62 mm).<br> <br>Tag 196019. At liberty for 33 days before being caught again on 2018-09-15 (67.5 mm).<br> <br>Tag 196558. At liberty for 1 days before being caught again on 2018-09-15 (52.6 mm).<br> <br>Tag 196559. At liberty for 1 days before being caught again on 2018-09-15 (48.3 mm).<br> <br>Tag K4362. At liberty for 1 days before being caught again on 2018-09-15 (75.9 mm).<br> <br>Tag K4364. At liberty for 1 days before being caught again on 2018-09-15 (83.8 mm).<br> <br>Tag K4368. At liberty for 1 days before being caught again on 2018-09-15 (79.4 mm)."
"196559",-29.54049,114.9503,48.3,"Sub-legal","Sub-legal","Sub-legal","Cliff Head","Male","Tag 195968. At liberty for 70 days before being caught again on 2018-09-15 (62 mm).<br> <br>Tag 196019. At liberty for 33 days before being caught again on 2018-09-15 (67.5 mm).<br> <br>Tag 196558. At liberty for 1 days before being caught again on 2018-09-15 (52.6 mm).<br> <br>Tag 196559. At liberty for 1 days before being caught again on 2018-09-15 (48.3 mm).<br> <br>Tag K4362. At liberty for 1 days before being caught again on 2018-09-15 (75.9 mm).<br> <br>Tag K4364. At liberty for 1 days before being caught again on 2018-09-15 (83.8 mm).<br> <br>Tag K4368. At liberty for 1 days before being caught again on 2018-09-15 (79.4 mm)."
"K4362",-29.54049,114.9503,75.9,"Sub-legal","Sub-legal","Sub-legal","Cliff Head","Female","Tag 195968. At liberty for 70 days before being caught again on 2018-09-15 (62 mm).<br> <br>Tag 196019. At liberty for 33 days before being caught again on 2018-09-15 (67.5 mm).<br> <br>Tag 196558. At liberty for 1 days before being caught again on 2018-09-15 (52.6 mm).<br> <br>Tag 196559. At liberty for 1 days before being caught again on 2018-09-15 (48.3 mm).<br> <br>Tag K4362. At liberty for 1 days before being caught again on 2018-09-15 (75.9 mm).<br> <br>Tag K4364. At liberty for 1 days before being caught again on 2018-09-15 (83.8 mm).<br> <br>Tag K4368. At liberty for 1 days before being caught again on 2018-09-15 (79.4 mm)."
"K4364",-29.54049,114.9503,83.8,"Legal","Legal","Legal","Cliff Head","Female","Tag 195968. At liberty for 70 days before being caught again on 2018-09-15 (62 mm).<br> <br>Tag 196019. At liberty for 33 days before being caught again on 2018-09-15 (67.5 mm).<br> <br>Tag 196558. At liberty for 1 days before being caught again on 2018-09-15 (52.6 mm).<br> <br>Tag 196559. At liberty for 1 days before being caught again on 2018-09-15 (48.3 mm).<br> <br>Tag K4362. At liberty for 1 days before being caught again on 2018-09-15 (75.9 mm).<br> <br>Tag K4364. At liberty for 1 days before being caught again on 2018-09-15 (83.8 mm).<br> <br>Tag K4368. At liberty for 1 days before being caught again on 2018-09-15 (79.4 mm)."
"K4368",-29.54049,114.9503,79.4,"Legal","Legal","Legal","Cliff Head","Male","Tag 195968. At liberty for 70 days before being caught again on 2018-09-15 (62 mm).<br> <br>Tag 196019. At liberty for 33 days before being caught again on 2018-09-15 (67.5 mm).<br> <br>Tag 196558. At liberty for 1 days before being caught again on 2018-09-15 (52.6 mm).<br> <br>Tag 196559. At liberty for 1 days before being caught again on 2018-09-15 (48.3 mm).<br> <br>Tag K4362. At liberty for 1 days before being caught again on 2018-09-15 (75.9 mm).<br> <br>Tag K4364. At liberty for 1 days before being caught again on 2018-09-15 (83.8 mm).<br> <br>Tag K4368. At liberty for 1 days before being caught again on 2018-09-15 (79.4 mm)."
"195874",-29.54046,114.9278,55.7,"Sub-legal","Sub-legal","Sub-legal","Golden Ridge","Male","Tag 195874. At liberty for 70 days before being caught again on 2018-09-15 (55.7 mm).<br> <br>Tag K2731. At liberty for 70 days before being caught again on 2018-09-15 (77.1 mm).<br> <br>Tag K4380. At liberty for 1 days before being caught again on 2018-09-15 (69.9 mm)."
"K2731",-29.54046,114.9278,77.1,"Legal","Legal","Legal","Golden Ridge","Male","Tag 195874. At liberty for 70 days before being caught again on 2018-09-15 (55.7 mm).<br> <br>Tag K2731. At liberty for 70 days before being caught again on 2018-09-15 (77.1 mm).<br> <br>Tag K4380. At liberty for 1 days before being caught again on 2018-09-15 (69.9 mm)."
"K4380",-29.54046,114.9278,69.9,"Sub-legal","Sub-legal","Sub-legal","Golden Ridge","Female","Tag 195874. At liberty for 70 days before being caught again on 2018-09-15 (55.7 mm).<br> <br>Tag K2731. At liberty for 70 days before being caught again on 2018-09-15 (77.1 mm).<br> <br>Tag K4380. At liberty for 1 days before being caught again on 2018-09-15 (69.9 mm)."
"K3172",-29.54046,114.92774,73.7,"Sub-legal","Sub-legal","Sub-legal","Golden Ridge","Male","Tag K3172. A Male lobster, first caught on 2018-07-06 (73.7 mm).<br> <br>Tag 195659. A Female lobster, first caught on 2018-07-06 (59.7 mm)."
"195659",-29.54046,114.92774,59.7,"Sub-legal","Sub-legal","Sub-legal","Golden Ridge","Female","Tag K3172. A Male lobster, first caught on 2018-07-06 (73.7 mm).<br> <br>Tag 195659. A Female lobster, first caught on 2018-07-06 (59.7 mm)."
"195659",-29.54043,114.92783,59.8,"Sub-legal","Sub-legal","Sub-legal","Golden Ridge","Female","Tag 195659. At liberty for 1 days before being caught again on 2018-07-07 (59.8 mm).<br> <br>Tag K2731. At liberty for 23 days before being caught again on 2018-07-07 (75.8 mm).<br> <br>Tag K3172. At liberty for 1 days before being caught again on 2018-07-07 (74 mm).<br> <br>Tag K3296. A Male lobster, first caught on 2018-07-07 (77.9 mm).<br> <br>Tag K3297. A Male lobster, first caught on 2018-07-07 (88.9 mm).<br> <br>Tag 195874. A Male lobster, first caught on 2018-07-07 (54.9 mm)."
"K2731",-29.54043,114.92783,75.8,"Legal","Legal","Legal","Golden Ridge","Male","Tag 195659. At liberty for 1 days before being caught again on 2018-07-07 (59.8 mm).<br> <br>Tag K2731. At liberty for 23 days before being caught again on 2018-07-07 (75.8 mm).<br> <br>Tag K3172. At liberty for 1 days before being caught again on 2018-07-07 (74 mm).<br> <br>Tag K3296. A Male lobster, first caught on 2018-07-07 (77.9 mm).<br> <br>Tag K3297. A Male lobster, first caught on 2018-07-07 (88.9 mm).<br> <br>Tag 195874. A Male lobster, first caught on 2018-07-07 (54.9 mm)."
"K3172",-29.54043,114.92783,74,"Sub-legal","Sub-legal","Sub-legal","Golden Ridge","Male","Tag 195659. At liberty for 1 days before being caught again on 2018-07-07 (59.8 mm).<br> <br>Tag K2731. At liberty for 23 days before being caught again on 2018-07-07 (75.8 mm).<br> <br>Tag K3172. At liberty for 1 days before being caught again on 2018-07-07 (74 mm).<br> <br>Tag K3296. A Male lobster, first caught on 2018-07-07 (77.9 mm).<br> <br>Tag K3297. A Male lobster, first caught on 2018-07-07 (88.9 mm).<br> <br>Tag 195874. A Male lobster, first caught on 2018-07-07 (54.9 mm)."
"K3296",-29.54043,114.92783,77.9,"Legal","Legal","Legal","Golden Ridge","Male","Tag 195659. At liberty for 1 days before being caught again on 2018-07-07 (59.8 mm).<br> <br>Tag K2731. At liberty for 23 days before being caught again on 2018-07-07 (75.8 mm).<br> <br>Tag K3172. At liberty for 1 days before being caught again on 2018-07-07 (74 mm).<br> <br>Tag K3296. A Male lobster, first caught on 2018-07-07 (77.9 mm).<br> <br>Tag K3297. A Male lobster, first caught on 2018-07-07 (88.9 mm).<br> <br>Tag 195874. A Male lobster, first caught on 2018-07-07 (54.9 mm)."
"K3297",-29.54043,114.92783,88.9,"Legal","Legal","Legal","Golden Ridge","Male","Tag 195659. At liberty for 1 days before being caught again on 2018-07-07 (59.8 mm).<br> <br>Tag K2731. At liberty for 23 days before being caught again on 2018-07-07 (75.8 mm).<br> <br>Tag K3172. At liberty for 1 days before being caught again on 2018-07-07 (74 mm).<br> <br>Tag K3296. A Male lobster, first caught on 2018-07-07 (77.9 mm).<br> <br>Tag K3297. A Male lobster, first caught on 2018-07-07 (88.9 mm).<br> <br>Tag 195874. A Male lobster, first caught on 2018-07-07 (54.9 mm)."
"195874",-29.54043,114.92783,54.9,"Sub-legal","Sub-legal","Sub-legal","Golden Ridge","Male","Tag 195659. At liberty for 1 days before being caught again on 2018-07-07 (59.8 mm).<br> <br>Tag K2731. At liberty for 23 days before being caught again on 2018-07-07 (75.8 mm).<br> <br>Tag K3172. At liberty for 1 days before being caught again on 2018-07-07 (74 mm).<br> <br>Tag K3296. A Male lobster, first caught on 2018-07-07 (77.9 mm).<br> <br>Tag K3297. A Male lobster, first caught on 2018-07-07 (88.9 mm).<br> <br>Tag 195874. A Male lobster, first caught on 2018-07-07 (54.9 mm)."
"K2729",-29.54037,114.9277,87.2,"Legal","Legal","Legal","Golden Ridge","Male","Tag K2729. At liberty for 92 days before being caught again on 2018-09-14 (87.2 mm).<br> <br>Tag K3297. At liberty for 69 days before being caught again on 2018-09-14 (89 mm).<br> <br>Tag K4380. A Female lobster, first caught on 2018-09-14 (69.7 mm)."
"K3297",-29.54037,114.9277,89,"Legal","Legal","Legal","Golden Ridge","Male","Tag K2729. At liberty for 92 days before being caught again on 2018-09-14 (87.2 mm).<br> <br>Tag K3297. At liberty for 69 days before being caught again on 2018-09-14 (89 mm).<br> <br>Tag K4380. A Female lobster, first caught on 2018-09-14 (69.7 mm)."
"K4380",-29.54037,114.9277,69.7,"Sub-legal","Sub-legal","Sub-legal","Golden Ridge","Female","Tag K2729. At liberty for 92 days before being caught again on 2018-09-14 (87.2 mm).<br> <br>Tag K3297. At liberty for 69 days before being caught again on 2018-09-14 (89 mm).<br> <br>Tag K4380. A Female lobster, first caught on 2018-09-14 (69.7 mm)."
"195963",-29.54026,114.951,55.4,"Sub-legal","Sub-legal","Sub-legal","Cliff Head","Female","Tag 195963. At liberty for 37 days before being caught again on 2018-08-13 (55.4 mm).<br> <br>Tag K2835. At liberty for 59 days before being caught again on 2018-08-13 (79.7 mm).<br> <br>Tag K3086. At liberty for 38 days before being caught again on 2018-08-13 (92.4 mm)."
"K2835",-29.54026,114.951,79.7,"Legal","Legal","Legal","Cliff Head","Male","Tag 195963. At liberty for 37 days before being caught again on 2018-08-13 (55.4 mm).<br> <br>Tag K2835. At liberty for 59 days before being caught again on 2018-08-13 (79.7 mm).<br> <br>Tag K3086. At liberty for 38 days before being caught again on 2018-08-13 (92.4 mm)."
"K3086",-29.54026,114.951,92.4,"Legal","Legal","Legal","Cliff Head","Male","Tag 195963. At liberty for 37 days before being caught again on 2018-08-13 (55.4 mm).<br> <br>Tag K2835. At liberty for 59 days before being caught again on 2018-08-13 (79.7 mm).<br> <br>Tag K3086. At liberty for 38 days before being caught again on 2018-08-13 (92.4 mm)."
"191566",-29.54018,114.9285,54.3,"Sub-legal","Sub-legal","Sub-legal","Golden Ridge","Female","Tag 191566. At liberty for 145 days before being caught again on 2018-11-07 (54.3 mm).<br> <br>Tag 196577. At liberty for 1 days before being caught again on 2018-11-07 (63 mm)."
"196577",-29.54018,114.9285,63,"Sub-legal","Sub-legal","Sub-legal","Golden Ridge","Female","Tag 191566. At liberty for 145 days before being caught again on 2018-11-07 (54.3 mm).<br> <br>Tag 196577. At liberty for 1 days before being caught again on 2018-11-07 (63 mm)."
"195056",-29.54015,114.92856,58.6,"Sub-legal","Sub-legal","Sub-legal","Golden Ridge","Female","Tag 195056. At liberty for 1 days before being caught again on 2018-07-07 (58.6 mm).<br> <br>Tag 195653. At liberty for 1 days before being caught again on 2018-07-07 (60.4 mm).<br> <br>Tag K3102. At liberty for 1 days before being caught again on 2018-07-07 (89.6 mm).<br> <br>Tag K3181. At liberty for 1 days before being caught again on 2018-07-07 (72.4 mm).<br> <br>Tag 195869. A Male lobster, first caught on 2018-07-07 (54.2 mm)."
"195653",-29.54015,114.92856,60.4,"Sub-legal","Sub-legal","Sub-legal","Golden Ridge","Female","Tag 195056. At liberty for 1 days before being caught again on 2018-07-07 (58.6 mm).<br> <br>Tag 195653. At liberty for 1 days before being caught again on 2018-07-07 (60.4 mm).<br> <br>Tag K3102. At liberty for 1 days before being caught again on 2018-07-07 (89.6 mm).<br> <br>Tag K3181. At liberty for 1 days before being caught again on 2018-07-07 (72.4 mm).<br> <br>Tag 195869. A Male lobster, first caught on 2018-07-07 (54.2 mm)."
"K3102",-29.54015,114.92856,89.6,"Legal","Legal","Legal","Golden Ridge","Male","Tag 195056. At liberty for 1 days before being caught again on 2018-07-07 (58.6 mm).<br> <br>Tag 195653. At liberty for 1 days before being caught again on 2018-07-07 (60.4 mm).<br> <br>Tag K3102. At liberty for 1 days before being caught again on 2018-07-07 (89.6 mm).<br> <br>Tag K3181. At liberty for 1 days before being caught again on 2018-07-07 (72.4 mm).<br> <br>Tag 195869. A Male lobster, first caught on 2018-07-07 (54.2 mm)."
"K3181",-29.54015,114.92856,72.4,"Sub-legal","Sub-legal","Sub-legal","Golden Ridge","Female","Tag 195056. At liberty for 1 days before being caught again on 2018-07-07 (58.6 mm).<br> <br>Tag 195653. At liberty for 1 days before being caught again on 2018-07-07 (60.4 mm).<br> <br>Tag K3102. At liberty for 1 days before being caught again on 2018-07-07 (89.6 mm).<br> <br>Tag K3181. At liberty for 1 days before being caught again on 2018-07-07 (72.4 mm).<br> <br>Tag 195869. A Male lobster, first caught on 2018-07-07 (54.2 mm)."
