"Tag.number","Latitude","Longitude","Carapace.length","Size.at.release","Size.at.recapture","Size","Release.location","Sex","Labels"
"K4202",-29.3833,114.8858767,91.9,"Legal","Legal","Legal","Irwin Reef","Male","Tag 197880. At liberty for 1 days before being caught again on 2018-12-04 (77.3 mm).<br> <br>Tag 197899. At liberty for 1 days before being caught again on 2018-12-04 (77.8 mm).<br> <br>Tag 197902. At liberty for 1 days before being caught again on 2018-12-04 (75 mm).<br> <br>Tag 197906. At liberty for 1 days before being caught again on 2018-12-04 (79.2 mm).<br> <br>Tag 197910. At liberty for 1 days before being caught again on 2018-12-04 (72.1 mm).<br> <br>Tag 197925. At liberty for 1 days before being caught again on 2018-12-04 (71.3 mm).<br> <br>Tag K3383. At liberty for 111 days before being caught again on 2018-12-04 (79.4 mm).<br> <br>Tag K4202. At liberty for 110 days before being caught again on 2018-12-04 (91.9 mm)."
"196456",-29.38328,114.88726,63.7,"Sub-legal","Sub-legal","Sub-legal","Irwin Reef","Female","Tag 196456. A Female lobster, first caught on 2018-08-16 (63.7 mm)."
"191511",-29.38325,114.88841,79.9,"Legal","Legal","Legal","Irwin Reef","Male","Tag 191511. At liberty for 61 days before being caught again on 2018-08-15 (79.9 mm).<br> <br>Tag 191517. At liberty for 65 days before being caught again on 2018-08-15 (66.9 mm).<br> <br>Tag K2979. At liberty for 38 days before being caught again on 2018-08-15 (85 mm).<br> <br>Tag 195758. A Female lobster, first caught on 2018-08-15 (44.8 mm)."
"191517",-29.38325,114.88841,66.9,"Sub-legal","Sub-legal","Sub-legal","Irwin Reef","Female","Tag 191511. At liberty for 61 days before being caught again on 2018-08-15 (79.9 mm).<br> <br>Tag 191517. At liberty for 65 days before being caught again on 2018-08-15 (66.9 mm).<br> <br>Tag K2979. At liberty for 38 days before being caught again on 2018-08-15 (85 mm).<br> <br>Tag 195758. A Female lobster, first caught on 2018-08-15 (44.8 mm)."
"K2979",-29.38325,114.88841,85,"Legal","Legal","Legal","Irwin Reef","Male","Tag 191511. At liberty for 61 days before being caught again on 2018-08-15 (79.9 mm).<br> <br>Tag 191517. At liberty for 65 days before being caught again on 2018-08-15 (66.9 mm).<br> <br>Tag K2979. At liberty for 38 days before being caught again on 2018-08-15 (85 mm).<br> <br>Tag 195758. A Female lobster, first caught on 2018-08-15 (44.8 mm)."
"195758",-29.38325,114.88841,44.8,"Sub-legal","Sub-legal","Sub-legal","Irwin Reef","Female","Tag 191511. At liberty for 61 days before being caught again on 2018-08-15 (79.9 mm).<br> <br>Tag 191517. At liberty for 65 days before being caught again on 2018-08-15 (66.9 mm).<br> <br>Tag K2979. At liberty for 38 days before being caught again on 2018-08-15 (85 mm).<br> <br>Tag 195758. A Female lobster, first caught on 2018-08-15 (44.8 mm)."
"K2977",-29.3832,114.88837,68.7,"Sub-legal","Sub-legal","Sub-legal","Irwin Reef","Female","Tag K2977. At liberty for 4 days before being caught again on 2018-07-08 (68.7 mm)."
"191506",-29.38319,114.8884,70.4,"Sub-legal","Sub-legal","Sub-legal","Irwin Reef","Male","Tag 191506. At liberty for 33 days before being caught again on 2018-09-17 (70.4 mm).<br> <br>Tag 191517. At liberty for 33 days before being caught again on 2018-09-17 (66.9 mm).<br> <br>Tag 191525. At liberty for 98 days before being caught again on 2018-09-17 (71.7 mm).<br> <br>Tag 195755. At liberty for 33 days before being caught again on 2018-09-17 (51 mm)."
"191511",-29.38319,114.8883,80.2,"Legal","Legal","Legal","Irwin Reef","Male","Tag 191511. At liberty for 1 days before being caught again on 2018-08-16 (80.2 mm).<br> <br>Tag 195758. At liberty for 1 days before being caught again on 2018-08-16 (45 mm)."
"191517",-29.38319,114.8884,66.9,"Sub-legal","Sub-legal","Sub-legal","Irwin Reef","Female","Tag 191506. At liberty for 33 days before being caught again on 2018-09-17 (70.4 mm).<br> <br>Tag 191517. At liberty for 33 days before being caught again on 2018-09-17 (66.9 mm).<br> <br>Tag 191525. At liberty for 98 days before being caught again on 2018-09-17 (71.7 mm).<br> <br>Tag 195755. At liberty for 33 days before being caught again on 2018-09-17 (51 mm)."
"191525",-29.38319,114.8884,71.7,"Sub-legal","Sub-legal","Sub-legal","Irwin Reef","Female","Tag 191506. At liberty for 33 days before being caught again on 2018-09-17 (70.4 mm).<br> <br>Tag 191517. At liberty for 33 days before being caught again on 2018-09-17 (66.9 mm).<br> <br>Tag 191525. At liberty for 98 days before being caught again on 2018-09-17 (71.7 mm).<br> <br>Tag 195755. At liberty for 33 days before being caught again on 2018-09-17 (51 mm)."
"195755",-29.38319,114.8884,51,"Sub-legal","Sub-legal","Sub-legal","Irwin Reef","Female","Tag 191506. At liberty for 33 days before being caught again on 2018-09-17 (70.4 mm).<br> <br>Tag 191517. At liberty for 33 days before being caught again on 2018-09-17 (66.9 mm).<br> <br>Tag 191525. At liberty for 98 days before being caught again on 2018-09-17 (71.7 mm).<br> <br>Tag 195755. At liberty for 33 days before being caught again on 2018-09-17 (51 mm)."
"195758",-29.38319,114.8883,45,"Sub-legal","Sub-legal","Sub-legal","Irwin Reef","Female","Tag 191511. At liberty for 1 days before being caught again on 2018-08-16 (80.2 mm).<br> <br>Tag 195758. At liberty for 1 days before being caught again on 2018-08-16 (45 mm)."
"195260",-29.38318,114.88722,63.6,"Sub-legal","Sub-legal","Sub-legal","Irwin Reef","Female","Tag 195260. At liberty for 23 days before being caught again on 2018-07-08 (63.6 mm).<br> <br>Tag 195809. A Female lobster, first caught on 2018-07-08 (55.5 mm)."
"195809",-29.38318,114.88722,55.5,"Sub-legal","Sub-legal","Sub-legal","Irwin Reef","Female","Tag 195260. At liberty for 23 days before being caught again on 2018-07-08 (63.6 mm).<br> <br>Tag 195809. A Female lobster, first caught on 2018-07-08 (55.5 mm)."
"191511",-29.38317833,114.8882517,79.9,"Legal","Legal","Legal","Irwin Reef","Male","Tag 191511. At liberty for 4 days before being caught again on 2018-06-15 (79.9 mm)."
"K3373",-29.38317667,114.8847933,90.2,"Legal","Legal","Legal","Irwin Reef","Male","Tag K3373. At liberty for 148 days before being caught again on 2018-12-03 (90.2 mm).<br> <br>Tag 197880. A Male lobster, first caught on 2018-12-03 (76.9 mm).<br> <br>Tag 197882. A Female lobster, first caught on 2018-12-03 (76.6 mm).<br> <br>Tag 197887. A Female lobster, first caught on 2018-12-03 (72.1 mm).<br> <br>Tag 197888. A Female lobster, first caught on 2018-12-03 (67 mm).<br> <br>Tag 197935. A Female lobster, first caught on 2018-12-03 (74.7 mm).<br> <br>Tag 197936. A Female lobster, first caught on 2018-12-03 (81.1 mm).<br> <br>Tag 197938. A Female lobster, first caught on 2018-12-03 (73.4 mm).<br> <br>Tag 197939. A Male lobster, first caught on 2018-12-03 (76.4 mm).<br> <br>Tag 197941. A Male lobster, first caught on 2018-12-03 (73.4 mm).<br> <br>Tag 197944. A Male lobster, first caught on 2018-12-03 (73.9 mm).<br> <br>Tag 197999. A Female lobster, first caught on 2018-12-03 (62.3 mm).<br> <br>Tag 197997. A Female lobster, first caught on 2018-12-03 (57.8 mm)."
"K2238",-29.38317667,114.8878383,77,"Legal","Legal","Legal","Irwin Reef","Female","Tag K2238. A Female lobster, first caught on 2018-06-11 (77 mm).<br> <br>Tag K2243. A Female lobster, first caught on 2018-06-11 (67.2 mm).<br> <br>Tag 191544. A Male lobster, first caught on 2018-06-11 (58.1 mm).<br> <br>Tag K2251. A Male lobster, first caught on 2018-06-11 (86.4 mm).<br> <br>Tag 191502. A Female lobster, first caught on 2018-06-11 (60.8 mm)."
"K2243",-29.38317667,114.8878383,67.2,"Sub-legal","Sub-legal","Sub-legal","Irwin Reef","Female","Tag K2238. A Female lobster, first caught on 2018-06-11 (77 mm).<br> <br>Tag K2243. A Female lobster, first caught on 2018-06-11 (67.2 mm).<br> <br>Tag 191544. A Male lobster, first caught on 2018-06-11 (58.1 mm).<br> <br>Tag K2251. A Male lobster, first caught on 2018-06-11 (86.4 mm).<br> <br>Tag 191502. A Female lobster, first caught on 2018-06-11 (60.8 mm)."
"191544",-29.38317667,114.8878383,58.1,"Sub-legal","Sub-legal","Sub-legal","Irwin Reef","Male","Tag K2238. A Female lobster, first caught on 2018-06-11 (77 mm).<br> <br>Tag K2243. A Female lobster, first caught on 2018-06-11 (67.2 mm).<br> <br>Tag 191544. A Male lobster, first caught on 2018-06-11 (58.1 mm).<br> <br>Tag K2251. A Male lobster, first caught on 2018-06-11 (86.4 mm).<br> <br>Tag 191502. A Female lobster, first caught on 2018-06-11 (60.8 mm)."
"K2251",-29.38317667,114.8878383,86.4,"Legal","Legal","Legal","Irwin Reef","Male","Tag K2238. A Female lobster, first caught on 2018-06-11 (77 mm).<br> <br>Tag K2243. A Female lobster, first caught on 2018-06-11 (67.2 mm).<br> <br>Tag 191544. A Male lobster, first caught on 2018-06-11 (58.1 mm).<br> <br>Tag K2251. A Male lobster, first caught on 2018-06-11 (86.4 mm).<br> <br>Tag 191502. A Female lobster, first caught on 2018-06-11 (60.8 mm)."
"191502",-29.38317667,114.8878383,60.8,"Sub-legal","Sub-legal","Sub-legal","Irwin Reef","Female","Tag K2238. A Female lobster, first caught on 2018-06-11 (77 mm).<br> <br>Tag K2243. A Female lobster, first caught on 2018-06-11 (67.2 mm).<br> <br>Tag 191544. A Male lobster, first caught on 2018-06-11 (58.1 mm).<br> <br>Tag K2251. A Male lobster, first caught on 2018-06-11 (86.4 mm).<br> <br>Tag 191502. A Female lobster, first caught on 2018-06-11 (60.8 mm)."
"197880",-29.38317667,114.8847933,76.9,"Legal","Legal","Legal","Irwin Reef","Male","Tag K3373. At liberty for 148 days before being caught again on 2018-12-03 (90.2 mm).<br> <br>Tag 197880. A Male lobster, first caught on 2018-12-03 (76.9 mm).<br> <br>Tag 197882. A Female lobster, first caught on 2018-12-03 (76.6 mm).<br> <br>Tag 197887. A Female lobster, first caught on 2018-12-03 (72.1 mm).<br> <br>Tag 197888. A Female lobster, first caught on 2018-12-03 (67 mm).<br> <br>Tag 197935. A Female lobster, first caught on 2018-12-03 (74.7 mm).<br> <br>Tag 197936. A Female lobster, first caught on 2018-12-03 (81.1 mm).<br> <br>Tag 197938. A Female lobster, first caught on 2018-12-03 (73.4 mm).<br> <br>Tag 197939. A Male lobster, first caught on 2018-12-03 (76.4 mm).<br> <br>Tag 197941. A Male lobster, first caught on 2018-12-03 (73.4 mm).<br> <br>Tag 197944. A Male lobster, first caught on 2018-12-03 (73.9 mm).<br> <br>Tag 197999. A Female lobster, first caught on 2018-12-03 (62.3 mm).<br> <br>Tag 197997. A Female lobster, first caught on 2018-12-03 (57.8 mm)."
"197882",-29.38317667,114.8847933,76.6,"Legal","Legal","Legal","Irwin Reef","Female","Tag K3373. At liberty for 148 days before being caught again on 2018-12-03 (90.2 mm).<br> <br>Tag 197880. A Male lobster, first caught on 2018-12-03 (76.9 mm).<br> <br>Tag 197882. A Female lobster, first caught on 2018-12-03 (76.6 mm).<br> <br>Tag 197887. A Female lobster, first caught on 2018-12-03 (72.1 mm).<br> <br>Tag 197888. A Female lobster, first caught on 2018-12-03 (67 mm).<br> <br>Tag 197935. A Female lobster, first caught on 2018-12-03 (74.7 mm).<br> <br>Tag 197936. A Female lobster, first caught on 2018-12-03 (81.1 mm).<br> <br>Tag 197938. A Female lobster, first caught on 2018-12-03 (73.4 mm).<br> <br>Tag 197939. A Male lobster, first caught on 2018-12-03 (76.4 mm).<br> <br>Tag 197941. A Male lobster, first caught on 2018-12-03 (73.4 mm).<br> <br>Tag 197944. A Male lobster, first caught on 2018-12-03 (73.9 mm).<br> <br>Tag 197999. A Female lobster, first caught on 2018-12-03 (62.3 mm).<br> <br>Tag 197997. A Female lobster, first caught on 2018-12-03 (57.8 mm)."
"197887",-29.38317667,114.8847933,72.1,"Sub-legal","Sub-legal","Sub-legal","Irwin Reef","Female","Tag K3373. At liberty for 148 days before being caught again on 2018-12-03 (90.2 mm).<br> <br>Tag 197880. A Male lobster, first caught on 2018-12-03 (76.9 mm).<br> <br>Tag 197882. A Female lobster, first caught on 2018-12-03 (76.6 mm).<br> <br>Tag 197887. A Female lobster, first caught on 2018-12-03 (72.1 mm).<br> <br>Tag 197888. A Female lobster, first caught on 2018-12-03 (67 mm).<br> <br>Tag 197935. A Female lobster, first caught on 2018-12-03 (74.7 mm).<br> <br>Tag 197936. A Female lobster, first caught on 2018-12-03 (81.1 mm).<br> <br>Tag 197938. A Female lobster, first caught on 2018-12-03 (73.4 mm).<br> <br>Tag 197939. A Male lobster, first caught on 2018-12-03 (76.4 mm).<br> <br>Tag 197941. A Male lobster, first caught on 2018-12-03 (73.4 mm).<br> <br>Tag 197944. A Male lobster, first caught on 2018-12-03 (73.9 mm).<br> <br>Tag 197999. A Female lobster, first caught on 2018-12-03 (62.3 mm).<br> <br>Tag 197997. A Female lobster, first caught on 2018-12-03 (57.8 mm)."
"197888",-29.38317667,114.8847933,67,"Sub-legal","Sub-legal","Sub-legal","Irwin Reef","Female","Tag K3373. At liberty for 148 days before being caught again on 2018-12-03 (90.2 mm).<br> <br>Tag 197880. A Male lobster, first caught on 2018-12-03 (76.9 mm).<br> <br>Tag 197882. A Female lobster, first caught on 2018-12-03 (76.6 mm).<br> <br>Tag 197887. A Female lobster, first caught on 2018-12-03 (72.1 mm).<br> <br>Tag 197888. A Female lobster, first caught on 2018-12-03 (67 mm).<br> <br>Tag 197935. A Female lobster, first caught on 2018-12-03 (74.7 mm).<br> <br>Tag 197936. A Female lobster, first caught on 2018-12-03 (81.1 mm).<br> <br>Tag 197938. A Female lobster, first caught on 2018-12-03 (73.4 mm).<br> <br>Tag 197939. A Male lobster, first caught on 2018-12-03 (76.4 mm).<br> <br>Tag 197941. A Male lobster, first caught on 2018-12-03 (73.4 mm).<br> <br>Tag 197944. A Male lobster, first caught on 2018-12-03 (73.9 mm).<br> <br>Tag 197999. A Female lobster, first caught on 2018-12-03 (62.3 mm).<br> <br>Tag 197997. A Female lobster, first caught on 2018-12-03 (57.8 mm)."
"197935",-29.38317667,114.8847933,74.7,"Sub-legal","Sub-legal","Sub-legal","Irwin Reef","Female","Tag K3373. At liberty for 148 days before being caught again on 2018-12-03 (90.2 mm).<br> <br>Tag 197880. A Male lobster, first caught on 2018-12-03 (76.9 mm).<br> <br>Tag 197882. A Female lobster, first caught on 2018-12-03 (76.6 mm).<br> <br>Tag 197887. A Female lobster, first caught on 2018-12-03 (72.1 mm).<br> <br>Tag 197888. A Female lobster, first caught on 2018-12-03 (67 mm).<br> <br>Tag 197935. A Female lobster, first caught on 2018-12-03 (74.7 mm).<br> <br>Tag 197936. A Female lobster, first caught on 2018-12-03 (81.1 mm).<br> <br>Tag 197938. A Female lobster, first caught on 2018-12-03 (73.4 mm).<br> <br>Tag 197939. A Male lobster, first caught on 2018-12-03 (76.4 mm).<br> <br>Tag 197941. A Male lobster, first caught on 2018-12-03 (73.4 mm).<br> <br>Tag 197944. A Male lobster, first caught on 2018-12-03 (73.9 mm).<br> <br>Tag 197999. A Female lobster, first caught on 2018-12-03 (62.3 mm).<br> <br>Tag 197997. A Female lobster, first caught on 2018-12-03 (57.8 mm)."
"197936",-29.38317667,114.8847933,81.1,"Legal","Legal","Legal","Irwin Reef","Female","Tag K3373. At liberty for 148 days before being caught again on 2018-12-03 (90.2 mm).<br> <br>Tag 197880. A Male lobster, first caught on 2018-12-03 (76.9 mm).<br> <br>Tag 197882. A Female lobster, first caught on 2018-12-03 (76.6 mm).<br> <br>Tag 197887. A Female lobster, first caught on 2018-12-03 (72.1 mm).<br> <br>Tag 197888. A Female lobster, first caught on 2018-12-03 (67 mm).<br> <br>Tag 197935. A Female lobster, first caught on 2018-12-03 (74.7 mm).<br> <br>Tag 197936. A Female lobster, first caught on 2018-12-03 (81.1 mm).<br> <br>Tag 197938. A Female lobster, first caught on 2018-12-03 (73.4 mm).<br> <br>Tag 197939. A Male lobster, first caught on 2018-12-03 (76.4 mm).<br> <br>Tag 197941. A Male lobster, first caught on 2018-12-03 (73.4 mm).<br> <br>Tag 197944. A Male lobster, first caught on 2018-12-03 (73.9 mm).<br> <br>Tag 197999. A Female lobster, first caught on 2018-12-03 (62.3 mm).<br> <br>Tag 197997. A Female lobster, first caught on 2018-12-03 (57.8 mm)."
"197938",-29.38317667,114.8847933,73.4,"Sub-legal","Sub-legal","Sub-legal","Irwin Reef","Female","Tag K3373. At liberty for 148 days before being caught again on 2018-12-03 (90.2 mm).<br> <br>Tag 197880. A Male lobster, first caught on 2018-12-03 (76.9 mm).<br> <br>Tag 197882. A Female lobster, first caught on 2018-12-03 (76.6 mm).<br> <br>Tag 197887. A Female lobster, first caught on 2018-12-03 (72.1 mm).<br> <br>Tag 197888. A Female lobster, first caught on 2018-12-03 (67 mm).<br> <br>Tag 197935. A Female lobster, first caught on 2018-12-03 (74.7 mm).<br> <br>Tag 197936. A Female lobster, first caught on 2018-12-03 (81.1 mm).<br> <br>Tag 197938. A Female lobster, first caught on 2018-12-03 (73.4 mm).<br> <br>Tag 197939. A Male lobster, first caught on 2018-12-03 (76.4 mm).<br> <br>Tag 197941. A Male lobster, first caught on 2018-12-03 (73.4 mm).<br> <br>Tag 197944. A Male lobster, first caught on 2018-12-03 (73.9 mm).<br> <br>Tag 197999. A Female lobster, first caught on 2018-12-03 (62.3 mm).<br> <br>Tag 197997. A Female lobster, first caught on 2018-12-03 (57.8 mm)."
"197939",-29.38317667,114.8847933,76.4,"Legal","Legal","Legal","Irwin Reef","Male","Tag K3373. At liberty for 148 days before being caught again on 2018-12-03 (90.2 mm).<br> <br>Tag 197880. A Male lobster, first caught on 2018-12-03 (76.9 mm).<br> <br>Tag 197882. A Female lobster, first caught on 2018-12-03 (76.6 mm).<br> <br>Tag 197887. A Female lobster, first caught on 2018-12-03 (72.1 mm).<br> <br>Tag 197888. A Female lobster, first caught on 2018-12-03 (67 mm).<br> <br>Tag 197935. A Female lobster, first caught on 2018-12-03 (74.7 mm).<br> <br>Tag 197936. A Female lobster, first caught on 2018-12-03 (81.1 mm).<br> <br>Tag 197938. A Female lobster, first caught on 2018-12-03 (73.4 mm).<br> <br>Tag 197939. A Male lobster, first caught on 2018-12-03 (76.4 mm).<br> <br>Tag 197941. A Male lobster, first caught on 2018-12-03 (73.4 mm).<br> <br>Tag 197944. A Male lobster, first caught on 2018-12-03 (73.9 mm).<br> <br>Tag 197999. A Female lobster, first caught on 2018-12-03 (62.3 mm).<br> <br>Tag 197997. A Female lobster, first caught on 2018-12-03 (57.8 mm)."
"197941",-29.38317667,114.8847933,73.4,"Sub-legal","Sub-legal","Sub-legal","Irwin Reef","Male","Tag K3373. At liberty for 148 days before being caught again on 2018-12-03 (90.2 mm).<br> <br>Tag 197880. A Male lobster, first caught on 2018-12-03 (76.9 mm).<br> <br>Tag 197882. A Female lobster, first caught on 2018-12-03 (76.6 mm).<br> <br>Tag 197887. A Female lobster, first caught on 2018-12-03 (72.1 mm).<br> <br>Tag 197888. A Female lobster, first caught on 2018-12-03 (67 mm).<br> <br>Tag 197935. A Female lobster, first caught on 2018-12-03 (74.7 mm).<br> <br>Tag 197936. A Female lobster, first caught on 2018-12-03 (81.1 mm).<br> <br>Tag 197938. A Female lobster, first caught on 2018-12-03 (73.4 mm).<br> <br>Tag 197939. A Male lobster, first caught on 2018-12-03 (76.4 mm).<br> <br>Tag 197941. A Male lobster, first caught on 2018-12-03 (73.4 mm).<br> <br>Tag 197944. A Male lobster, first caught on 2018-12-03 (73.9 mm).<br> <br>Tag 197999. A Female lobster, first caught on 2018-12-03 (62.3 mm).<br> <br>Tag 197997. A Female lobster, first caught on 2018-12-03 (57.8 mm)."
"197944",-29.38317667,114.8847933,73.9,"Sub-legal","Sub-legal","Sub-legal","Irwin Reef","Male","Tag K3373. At liberty for 148 days before being caught again on 2018-12-03 (90.2 mm).<br> <br>Tag 197880. A Male lobster, first caught on 2018-12-03 (76.9 mm).<br> <br>Tag 197882. A Female lobster, first caught on 2018-12-03 (76.6 mm).<br> <br>Tag 197887. A Female lobster, first caught on 2018-12-03 (72.1 mm).<br> <br>Tag 197888. A Female lobster, first caught on 2018-12-03 (67 mm).<br> <br>Tag 197935. A Female lobster, first caught on 2018-12-03 (74.7 mm).<br> <br>Tag 197936. A Female lobster, first caught on 2018-12-03 (81.1 mm).<br> <br>Tag 197938. A Female lobster, first caught on 2018-12-03 (73.4 mm).<br> <br>Tag 197939. A Male lobster, first caught on 2018-12-03 (76.4 mm).<br> <br>Tag 197941. A Male lobster, first caught on 2018-12-03 (73.4 mm).<br> <br>Tag 197944. A Male lobster, first caught on 2018-12-03 (73.9 mm).<br> <br>Tag 197999. A Female lobster, first caught on 2018-12-03 (62.3 mm).<br> <br>Tag 197997. A Female lobster, first caught on 2018-12-03 (57.8 mm)."
"197999",-29.38317667,114.8847933,62.3,"Sub-legal","Sub-legal","Sub-legal","Irwin Reef","Female","Tag K3373. At liberty for 148 days before being caught again on 2018-12-03 (90.2 mm).<br> <br>Tag 197880. A Male lobster, first caught on 2018-12-03 (76.9 mm).<br> <br>Tag 197882. A Female lobster, first caught on 2018-12-03 (76.6 mm).<br> <br>Tag 197887. A Female lobster, first caught on 2018-12-03 (72.1 mm).<br> <br>Tag 197888. A Female lobster, first caught on 2018-12-03 (67 mm).<br> <br>Tag 197935. A Female lobster, first caught on 2018-12-03 (74.7 mm).<br> <br>Tag 197936. A Female lobster, first caught on 2018-12-03 (81.1 mm).<br> <br>Tag 197938. A Female lobster, first caught on 2018-12-03 (73.4 mm).<br> <br>Tag 197939. A Male lobster, first caught on 2018-12-03 (76.4 mm).<br> <br>Tag 197941. A Male lobster, first caught on 2018-12-03 (73.4 mm).<br> <br>Tag 197944. A Male lobster, first caught on 2018-12-03 (73.9 mm).<br> <br>Tag 197999. A Female lobster, first caught on 2018-12-03 (62.3 mm).<br> <br>Tag 197997. A Female lobster, first caught on 2018-12-03 (57.8 mm)."
"197997",-29.38317667,114.8847933,57.8,"Sub-legal","Sub-legal","Sub-legal","Irwin Reef","Female","Tag K3373. At liberty for 148 days before being caught again on 2018-12-03 (90.2 mm).<br> <br>Tag 197880. A Male lobster, first caught on 2018-12-03 (76.9 mm).<br> <br>Tag 197882. A Female lobster, first caught on 2018-12-03 (76.6 mm).<br> <br>Tag 197887. A Female lobster, first caught on 2018-12-03 (72.1 mm).<br> <br>Tag 197888. A Female lobster, first caught on 2018-12-03 (67 mm).<br> <br>Tag 197935. A Female lobster, first caught on 2018-12-03 (74.7 mm).<br> <br>Tag 197936. A Female lobster, first caught on 2018-12-03 (81.1 mm).<br> <br>Tag 197938. A Female lobster, first caught on 2018-12-03 (73.4 mm).<br> <br>Tag 197939. A Male lobster, first caught on 2018-12-03 (76.4 mm).<br> <br>Tag 197941. A Male lobster, first caught on 2018-12-03 (73.4 mm).<br> <br>Tag 197944. A Male lobster, first caught on 2018-12-03 (73.9 mm).<br> <br>Tag 197999. A Female lobster, first caught on 2018-12-03 (62.3 mm).<br> <br>Tag 197997. A Female lobster, first caught on 2018-12-03 (57.8 mm)."
"191502",-29.383,114.88797,60,"Sub-legal","Sub-legal","Sub-legal","Irwin Reef","Female","Tag 191502. At liberty for 38 days before being caught again on 2018-08-15 (60 mm).<br> <br>Tag 191506. At liberty for 65 days before being caught again on 2018-08-15 (69.5 mm)."
"191506",-29.383,114.88797,69.5,"Sub-legal","Sub-legal","Sub-legal","Irwin Reef","Male","Tag 191502. At liberty for 38 days before being caught again on 2018-08-15 (60 mm).<br> <br>Tag 191506. At liberty for 65 days before being caught again on 2018-08-15 (69.5 mm)."
"K4929",-29.383,114.8883,71.4,"Sub-legal","Sub-legal","Sub-legal","Irwin Reef","Male","Tag K4929. A Male lobster, first caught on 2018-09-16 (71.4 mm)."
"191506",-29.382995,114.887465,70.6,"Sub-legal","Sub-legal","Sub-legal","Irwin Reef","Male","Tag 191506. A Male lobster, first caught on 2018-06-11 (70.6 mm).<br> <br>Tag 191511. A Male lobster, first caught on 2018-06-11 (79.4 mm).<br> <br>Tag 191517. A Female lobster, first caught on 2018-06-11 (64.5 mm).<br> <br>Tag 191524. A Male lobster, first caught on 2018-06-11 (67.9 mm).<br> <br>Tag 191525. A Female lobster, first caught on 2018-06-11 (71.9 mm)."
"191511",-29.382995,114.887465,79.4,"Legal","Legal","Legal","Irwin Reef","Male","Tag 191506. A Male lobster, first caught on 2018-06-11 (70.6 mm).<br> <br>Tag 191511. A Male lobster, first caught on 2018-06-11 (79.4 mm).<br> <br>Tag 191517. A Female lobster, first caught on 2018-06-11 (64.5 mm).<br> <br>Tag 191524. A Male lobster, first caught on 2018-06-11 (67.9 mm).<br> <br>Tag 191525. A Female lobster, first caught on 2018-06-11 (71.9 mm)."
"191517",-29.382995,114.887465,64.5,"Sub-legal","Sub-legal","Sub-legal","Irwin Reef","Female","Tag 191506. A Male lobster, first caught on 2018-06-11 (70.6 mm).<br> <br>Tag 191511. A Male lobster, first caught on 2018-06-11 (79.4 mm).<br> <br>Tag 191517. A Female lobster, first caught on 2018-06-11 (64.5 mm).<br> <br>Tag 191524. A Male lobster, first caught on 2018-06-11 (67.9 mm).<br> <br>Tag 191525. A Female lobster, first caught on 2018-06-11 (71.9 mm)."
"191524",-29.382995,114.887465,67.9,"Sub-legal","Sub-legal","Sub-legal","Irwin Reef","Male","Tag 191506. A Male lobster, first caught on 2018-06-11 (70.6 mm).<br> <br>Tag 191511. A Male lobster, first caught on 2018-06-11 (79.4 mm).<br> <br>Tag 191517. A Female lobster, first caught on 2018-06-11 (64.5 mm).<br> <br>Tag 191524. A Male lobster, first caught on 2018-06-11 (67.9 mm).<br> <br>Tag 191525. A Female lobster, first caught on 2018-06-11 (71.9 mm)."
"191525",-29.382995,114.887465,71.9,"Sub-legal","Sub-legal","Sub-legal","Irwin Reef","Female","Tag 191506. A Male lobster, first caught on 2018-06-11 (70.6 mm).<br> <br>Tag 191511. A Male lobster, first caught on 2018-06-11 (79.4 mm).<br> <br>Tag 191517. A Female lobster, first caught on 2018-06-11 (64.5 mm).<br> <br>Tag 191524. A Male lobster, first caught on 2018-06-11 (67.9 mm).<br> <br>Tag 191525. A Female lobster, first caught on 2018-06-11 (71.9 mm)."
"K4929",-29.38296,114.8879,71.1,"Sub-legal","Sub-legal","Sub-legal","Irwin Reef","Male","Tag K4929. At liberty for 1 days before being caught again on 2018-09-17 (71.1 mm)."
"197898",-29.38295667,114.8863533,74.8,"Sub-legal","Sub-legal","Sub-legal","Irwin Reef","Female","Tag 197898. At liberty for 1 days before being caught again on 2018-12-04 (74.8 mm).<br> <br>Tag 197999. At liberty for 1 days before being caught again on 2018-12-04 (66.3 mm).<br> <br>Tag K1642. At liberty for 1 days before being caught again on 2018-12-04 (84.4 mm).<br> <br>Tag 198206. A Male lobster, first caught on 2018-12-04 (84.5 mm).<br> <br>Tag 198209. A Male lobster, first caught on 2018-12-04 (77.9 mm)."
"197999",-29.38295667,114.8863533,66.3,"Sub-legal","Sub-legal","Sub-legal","Irwin Reef","Female","Tag 197898. At liberty for 1 days before being caught again on 2018-12-04 (74.8 mm).<br> <br>Tag 197999. At liberty for 1 days before being caught again on 2018-12-04 (66.3 mm).<br> <br>Tag K1642. At liberty for 1 days before being caught again on 2018-12-04 (84.4 mm).<br> <br>Tag 198206. A Male lobster, first caught on 2018-12-04 (84.5 mm).<br> <br>Tag 198209. A Male lobster, first caught on 2018-12-04 (77.9 mm)."
